GENDER,LGB_3,CA_REGION,AGE_6,RACE_5,pv_ever,pv_12mo,sv_ever,sv_12mo,ipv_ever,ipv_year,data_year,INCOME_QUINTILE,EDUC5,EMPLOY_2,DISABILITY,sv_perp_ever,sv_perp_12mo,pv_perp_ever,pv_perp_12mo,WEIGHT,pastyearpv1,pastyearpv2,pastyearpv3,pastyearsv1,pastyearsv2,pastyearsv3,pastyearsv4,pastyearsv5,pastyearsv6,pastyearperpsv1,pastyearperpsv2,pastyearperpsv3,pastyearperpsv4,pastyearperpsv5,pastyearperpsv6,pastyearperppv1,pastyearperppv2,pastyearperppv3
1,2,2,5,1,1,0,1,0,1,0,2025,1,4,1,0,0,0,1,0,0.560138112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,6,1,1,0,1,0,0,0,2025,5,5,1,0,0,0,0,0,1.034728357,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,4,2,1,0,1,0,0,0,2025,2,4,1,0,1,0,0,0,0.23558287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,4,6,1,0,0,0,0,0,0,2025,2,3,2,0,0,0,0,0,1.571462396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,6,3,0,0,0,0,0,0,2025,1,3,2,1,0,0,0,0,3.543040895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,2,1,0,0,0,0,0,0,2025,5,4,1,0,0,0,0,0,1.024449074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2,3,3,1,0,1,0,1,0,2025,1,2,2,0,0,0,0,0,2.00017908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,2,5,1,0,1,1,1,0,2025,2,3,1,1,0,0,0,0,0.567715546,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,5,2,0,0,0,0,0,0,2025,2,3,1,0,0,0,0,0,0.214422174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,6,3,0,0,0,0,0,0,2025,2,4,2,0,0,0,0,0,1.981960814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,6,1,1,0,1,0,1,0,2025,3,3,2,1,1,0,0,0,2.247070303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,4,3,0,0,1,0,0,0,2025,4,4,1,0,0,0,0,0,1.835984606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,2,3,2,1,0,1,1,1,0,2025,3,3,1,0,0,0,0,0,0.265767128,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2,3,6,1,1,0,0,0,0,0,2025,4,4,2,0,0,0,1,0,0.614325555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,3,3,0,0,0,0,1,0,2025,5,4,1,0,0,0,0,0,2.056639368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,2,1,0,0,0,0,0,0,2025,4,5,1,0,0,0,0,0,0.263847877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,6,1,1,0,1,0,1,0,2025,4,3,2,0,0,0,0,0,0.540154403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,5,6,1,0,0,0,0,0,0,2025,4,5,2,0,0,0,0,0,0.972726593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,5,3,1,1,0,1,0,1,0,2025,5,3,1,0,0,0,0,0,2.287392345,0,0,0,NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0
2,2,1,5,5,1,0,1,0,1,0,2025,3,3,1,0,0,0,1,0,0.392017568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5,4,3,1,0,1,0,1,0,2025,4,3,1,0,0,0,1,0,2.279442766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
